OBJECTID,MUKEY,GIS_ID,TYPE,DESC_,SLOPE,TYPEDESC,SLOPEDESC,TYPE_ORIG,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,128629,SoilPly_1,Mc,"Manor channery loam, 8 to 15 percent slopes",C,Manor channery loam,8 to 15 percent slopes,McC,{BF705806-0E43-4166-A7DD-9E08DF9AD3F7},,,,,0,0
2,128630,SoilPly_2,Md,"Manor-urban land complex, 0 to 8 percent slopes",B,Manor-urban land complex,0 to 8 percent slopes,MdB,{38907434-8D3A-4CFA-AA20-79C52D22CB85},,,,,0,0
3,128632,SoilPly_3,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{036A148A-BE09-43AA-A4F4-B7E85975FBD8},,,,,0,0
4,128628,SoilPly_26,Mb,"Manor loam, 15 to 40 percent slopes",D,Manor loam,15 to 40 percent slopes,MbD,{FCFEA4CC-B325-42D4-86EE-C870D9EA409A},,,,,0,0
5,128672,SoilPly_27,Ub,Urban Land, ,Urban Land, ,Ub,{46810BFC-6145-4F42-8373-08A64AD2C9FD},,,,,0,0
6,128630,SoilPly_28,Md,"Manor-urban land complex, 0 to 8 percent slopes",B,Manor-urban land complex,0 to 8 percent slopes,MdB,{0E1D9458-8B40-4045-9944-F89504FE3D67},,,,,0,0
7,128631,SoilPly_29,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{74BC7158-F208-4E75-ACCF-A01F54AAA926},,,,,0,0
8,128632,SoilPly_30,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{21C41EE8-899C-4D11-8F46-1119123C2C14},,,,,0,0
9,128588,SoilPly_31,Ck,Codorus Silt Loam, ,Codorus Silt Loam, ,Ck,{803ED8D3-E499-4F75-8DD6-C4A8EA26C1EA},,,,,0,0
10,128629,SoilPly_32,Mc,"Manor channery loam, 8 to 15 percent slopes",C,Manor channery loam,8 to 15 percent slopes,McC,{6DF5ACF2-83FA-45DB-B773-62D1914D444C},,,,,0,0
11,128630,SoilPly_33,Md,"Manor-urban land complex, 0 to 8 percent slopes",B,Manor-urban land complex,0 to 8 percent slopes,MdB,{C1E63766-38EE-4EC4-A678-88F87CA6FF3C},,,,,0,0
12,128612,SoilPly_34,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{261B125B-52E9-4CCF-9B0D-4379BBB56C41},,,,,0,0
13,128632,SoilPly_35,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{F9E74C65-B10B-409C-A35D-8ED7C37F92F8},,,,,0,0
14,128631,SoilPly_36,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{1740076C-BB06-4F9F-97CE-9FCD091C6479},,,,,0,0
15,128628,SoilPly_37,Mb,"Manor loam, 15 to 40 percent slopes",D,Manor loam,15 to 40 percent slopes,MbD,{89E60E44-3FD2-4AE2-8A04-D737E0E5DC8A},,,,,0,0
16,128612,SoilPly_38,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{008EF576-755F-4ADD-ACFE-B6126708E36F},,,,,0,0
17,128632,SoilPly_39,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{305DAA5F-7914-46C0-848C-A81A0EF0C7E3},,,,,0,0
18,128612,SoilPly_40,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{13C5F963-61E8-4194-9785-0D0D544724AB},,,,,0,0
19,128629,SoilPly_41,Mc,"Manor channery loam, 8 to 15 percent slopes",C,Manor channery loam,8 to 15 percent slopes,McC,{159385B9-095B-4133-B40E-FB5136BBFCC1},,,,,0,0
20,128612,SoilPly_42,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{68541CD6-0FE9-4DD4-9F79-CADA0EAA15B1},,,,,0,0
21,128608,SoilPly_43,Gh,"Glenelg-urban land complex, 0 to 8 percent slopes",B,Glenelg-urban land complex,0 to 8 percent slopes,GhB,{F359A9C1-3476-4644-9461-F4F1669865F4},,,,,0,0
22,128632,SoilPly_44,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{EC78D498-CD60-4979-B03E-D4D79AFA63BB},,,,,0,0
23,128632,SoilPly_45,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{6D1D55C0-D7B0-432C-A12A-E467855EED8F},,,,,0,0
24,128632,SoilPly_46,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{D7870E23-612F-46A4-972D-572ABC67D22D},,,,,0,0
25,128689,SoilPly_47,W,Water, ,Water, ,W,{3C6C0E4D-9101-4A8C-9243-5A54F2C7D320},,,,,0,0
26,128572,SoilPly_48,Br,"Brandywine gravelly loam,  15 to 40 percent slopes",D,Brandywine gravelly loam,15 to 40 percent slopes,BrD,{C05CD738-2CDE-41AA-B73E-91CE4CCE032E},,,,,0,0
27,128631,SoilPly_49,Md,"Manor-urban land complex, 8 to 15 percent slopes",C,Manor-urban land complex,8 to 15 percent slopes,MdC,{2B93A402-9211-4F68-9BCB-AAD00C742955},,,,,0,0
28,128571,SoilPly_50,Br,"Brandywine gravelly loam,  8 to 15 percent slopes",C,Brandywine gravelly loam,8 to 15 percent slopes,BrC,{1F63808A-660B-477B-82D3-151DB6293E8E},,,,,0,0
29,128670,SoilPly_51,U9,"Udorthents, Clayey, Smoothed", ,"Udorthents, Clayey, Smoothed", ,U9,{085DCA0B-9B50-4AB8-9974-3CB7515DFCF9},,,,,0,0
30,128632,SoilPly_52,Md,"Manor-urban land complex, 15 to 40 percent slopes",D,Manor-urban land complex,15 to 40 percent slopes,MdD,{DC826438-44EE-46E9-B734-0D04B0E6B4D0},,,,,0,0
31,128579,SoilPly_53,Cd,"Chillum-urban land complex,  0 to 8 percent slopes",B,Chillum-urban land complex,0 to 8 percent slopes,CdB,{5D9926DE-A102-4423-8782-84BABC5DB66E},,,,,0,0
32,128612,SoilPly_54,Gm,"Glenelg variant-urban land complex, 0 to 8 percent slopes",B,Glenelg variant-urban land complex,0 to 8 percent slopes,GmB,{93C018CB-8B50-443F-9B0B-C1BB4E13FFDF},,,,,0,0
